model_name,input_price_low,output_price_low,input_price_high,output_price_high,cutoff
gemini-2.5-flash-lite,0.1,0.4,0.1,0.4,0
gemini-2.5-flash,0.3,2.5,0.3,2.5,0
gemini-3-flash-preview,0.5,3,0.5,3,0
gemini-3.1-flash-lite-preview,0.25,1.5,0.25,1.5,0
gemini-2.5-pro,1.25,10,2.5,15,200000
gemini-3-pro-preview,2,12,4,18,200000
gemini-3.1-pro-preview,2,12,4,18,200000
claude-haiku-4-5,1,5,1,5,0
claude-sonnet-4-6,3,15,3,15,0
claude-opus-4-8,5,25,5,25,0
